iter	Passed	Remaining
809	10887	2553
810	10900	2540
811	10919	2528
812	10934	2514
813	10947	2501
814	10960	2487
815	10973	2474
816	10985	2460
817	10997	2446
818	11009	2433
819	11021	2419
820	11034	2405
821	11046	2392
822	11057	2378
823	11069	2364
824	11081	2350
825	11093	2336
826	11110	2324
827	11122	2310
828	11134	2296
829	11145	2282
830	11158	2269
831	11169	2255
832	11180	2241
833	11192	2227
834	11203	2213
835	11214	2199
836	11225	2186
837	11237	2172
838	11247	2158
839	11259	2144
840	11269	2130
841	11280	2116
842	11291	2102
843	11302	2089
844	11313	2075
845	11323	2061
846	11335	2047
847	11347	2033
848	11360	2020
849	11374	2007
850	11386	1993
851	11398	1980
852	11410	1966
853	11423	1952
854	11435	1939
855	11447	1925
856	11459	1912
857	11471	1898
858	11483	1884
859	11495	1871
860	11507	1857
861	11519	1844
862	11532	1830
863	11545	1817
864	11558	1803
865	11571	1790
866	11583	1776
867	11596	1763
868	11614	1750
869	11629	1737
870	11641	1724
871	11654	1710
872	11666	1697
873	11681	1684
874	11693	1670
875	11706	1657
876	11719	1643
877	11731	1630
878	11747	1617
879	11763	1604
880	11781	1591
881	11795	1578
882	11810	1564
883	11824	1551
884	11836	1538
885	11855	1525
886	11871	1512
887	11883	1498
888	11896	1485
889	11909	1471
890	11920	1458
891	11934	1444
892	11950	1431
893	11967	1418
894	11994	1407
895	12020	1395
896	12043	1382
897	12067	1370
898	12081	1357
899	12097	1344
900	12111	1330
901	12126	1317
902	12141	1304
903	12184	1293
904	12205	1281
905	12223	1268
906	12245	1255
907	12266	1242
908	12281	1229
909	12294	1215
910	12308	1202
911	12322	1189
912	12339	1175
913	12353	1162
914	12367	1148
915	12385	1135
916	12399	1122
917	12414	1108
918	12429	1095
919	12442	1081
920	12458	1068
921	12474	1055
922	12488	1041
923	12502	1028
924	12520	1015
925	12540	1002
926	12565	989
927	12579	976
928	12596	962
929	12616	949
930	12630	936
931	12644	922
932	12659	909
933	12673	895
934	12687	882
935	12701	868
936	12713	854
937	12726	841
938	12738	827
939	12753	814
940	12768	800
941	12786	787
942	12802	773
943	12817	760
944	12832	746
945	12846	733
946	12861	719
947	12874	706
948	12887	692
949	12903	679
950	12923	665
951	12945	652
952	12963	639
953	12977	625
954	12990	612
955	13003	598
956	13015	584
957	13027	571
958	13042	557
959	13054	543
960	13066	530
961	13078	516
962	13090	502
963	13103	489
964	13116	475
965	13128	462
966	13140	448
967	13153	434
968	13166	421
969	13179	407
970	13192	394
971	13205	380
972	13217	366
973	13231	353
974	13244	339
975	13258	326
976	13271	312
977	13282	298
978	13296	285
979	13308	271
980	13320	257
981	13331	244
982	13343	230
983	13356	217
984	13369	203
985	13381	189
986	13392	176
987	13403	162
988	13415	149
989	13427	135
990	13440	122
991	13452	108
992	13465	94
993	13479	81
994	13491	67
995	13504	54
996	13517	40
997	13529	27
998	13542	13
999	13555	0
